source_id,target_id,relationship,source_url,local_path,sha256
part-d-mtm,program_medicare,belongs_to,https://resdac.org/cms-data/files/part-d-mtm,data/raw/html/dataset_page/92f877ce64ac8a0cb2e4b27f1b2c3ec384191839.html,340f49abc3de0033439e08837aa247b2d1661a1f10f794595f1cb9a24145060c
part-d-mtm,program_medicare,belongs_to,https://resdac.org/cms-data/files/part-d-mtm?page=1,data/raw/html/dataset_page/d551119ea23cdc896e866c79287b606e6548c277.html,0187b70d2ae5fbed6613486b69150fc4fa94d6fa74a3e2587c0ef878c9111cdf
part-d-pharmacy-characteristics,program_medicare,belongs_to,https://resdac.org/cms-data/files/part-d-pharmacy-characteristics,data/raw/html/dataset_page/541baeea95d188c8d5aaa3d036611cb1af88bcff.html,4d568acde4a297dca6d364cf0dc7de3be15a6cc5c9dd4687e47e5e247b44fe25
part-d-pharmacy-characteristics,pde,related_to,https://resdac.org/cms-data/files/part-d-pharmacy-characteristics,data/raw/html/dataset_page/541baeea95d188c8d5aaa3d036611cb1af88bcff.html,4d568acde4a297dca6d364cf0dc7de3be15a6cc5c9dd4687e47e5e247b44fe25
part-d-pharmacy-characteristics,program_medicare,belongs_to,https://resdac.org/cms-data/files/part-d-pharmacy-characteristics?page=1,data/raw/html/dataset_page/426dd5c8209fc57fc3edb46f31c500aa1b07edcd.html,71c45f8b9998fbcd0384448ea68820fb7722419f4b4cbf633e1100ff2c2e8ccf
part-d-pharmacy-characteristics,pde,related_to,https://resdac.org/cms-data/files/part-d-pharmacy-characteristics?page=1,data/raw/html/dataset_page/426dd5c8209fc57fc3edb46f31c500aa1b07edcd.html,71c45f8b9998fbcd0384448ea68820fb7722419f4b4cbf633e1100ff2c2e8ccf
part-d-plan-election-type-beneficiary-summary,program_medicare,belongs_to,https://resdac.org/cms-data/files/part-d-plan-election-type-beneficiary-summary,data/raw/html/dataset_page/fc95dabdf48b27f8ed244b5bce6514eee1ae4e27.html,c629185777088c1097ce68c41607db7f40050be88834c870bee510e1609e5b14
part-d-plan-election-type-beneficiary-summary,pde,related_to,https://resdac.org/cms-data/files/part-d-plan-election-type-beneficiary-summary,data/raw/html/dataset_page/fc95dabdf48b27f8ed244b5bce6514eee1ae4e27.html,c629185777088c1097ce68c41607db7f40050be88834c870bee510e1609e5b14
part-d-plan-election-type-beneficiary-summary,program_medicare,belongs_to,https://resdac.org/cms-data/files/part-d-plan-election-type-beneficiary-summary?page=1,data/raw/html/dataset_page/000224f3381ebc39db622e3eee762a28c41e05ec.html,8ab253200a7097b7a074c4ca3cf24957df7ba127e1342addfea9ce0c44796253
part-d-plan-election-type-beneficiary-summary,pde,related_to,https://resdac.org/cms-data/files/part-d-plan-election-type-beneficiary-summary?page=1,data/raw/html/dataset_page/000224f3381ebc39db622e3eee762a28c41e05ec.html,8ab253200a7097b7a074c4ca3cf24957df7ba127e1342addfea9ce0c44796253
part-d-prescriber-characteristics,program_medicare,belongs_to,https://resdac.org/cms-data/files/part-d-prescriber-characteristics,data/raw/html/dataset_page/ed8746386872127918f67f0cf5cf3900b9dda0e6.html,db3f0c56304c128cdd23a3a7575597e04e06bfeeb47d9b9ed7c9b71c35652958
part-d-prescriber-characteristics,pde,related_to,https://resdac.org/cms-data/files/part-d-prescriber-characteristics,data/raw/html/dataset_page/ed8746386872127918f67f0cf5cf3900b9dda0e6.html,db3f0c56304c128cdd23a3a7575597e04e06bfeeb47d9b9ed7c9b71c35652958
part-d-prescriber-characteristics,program_medicare,belongs_to,https://resdac.org/cms-data/files/part-d-prescriber-characteristics?page=1,data/raw/html/dataset_page/996a716d9a80f27752f95ccaff466c809c729e0b.html,e639da9390824d4b206487891db7adeed2f28700248fd7a2eda5473b398e4b9a
part-d-prescriber-characteristics,pde,related_to,https://resdac.org/cms-data/files/part-d-prescriber-characteristics?page=1,data/raw/html/dataset_page/996a716d9a80f27752f95ccaff466c809c729e0b.html,e639da9390824d4b206487891db7adeed2f28700248fd7a2eda5473b398e4b9a
