source_id,target_id,relationship,source_url,source_document,page,chunk_id
pioneer-aco,pioneer-aco__var__pcp-flag,contains,https://resdac.org/cms-data/variables/primary-care-practitioner-indicator,data/raw/html/variable_page/bae6115748146dd21af6b4968fa250503c50297b.html,,pioneer-aco__data-documentation__fbf03a23f2__chunk_4
pioneer-aco,pioneer-aco__var__prvdr-aco-year,contains,https://resdac.org/cms-data/variables/year-provider-aco-source-record,data/raw/html/variable_page/395e43343f6a76d9834955f0fee7ffc3fd343831.html,,pioneer-aco__data-documentation__fbf03a23f2__chunk_3
pioneer-aco,pioneer-aco__var__sex-cd,contains,https://resdac.org/cms-data/variables/sex-1,data/raw/html/variable_page/2fa8249aacdc3cc0ffe33c49a8cf9af31635818b.html,,pioneer-aco__data-documentation__fbf03a23f2__chunk_1
plan-characteristics,plan-characteristics__var__below-benchmark,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,2,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s2__chunk_3
plan-characteristics,plan-characteristics__var__excluded-drugs,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,1,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s1__chunk_6
plan-characteristics,plan-characteristics__var__excluded-tier-gap,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,3,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s3__chunk_1
plan-characteristics,plan-characteristics__var__excluded-tier-pre-icl,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,3,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s3__chunk_1
plan-characteristics,plan-characteristics__var__free-first-fill,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,1,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s1__chunk_4
plan-characteristics,plan-characteristics__var__gap-drug-type-tier-01,contains,https://www2.ccwdata.org/documents/10280/19022436/codebook-ptd-plan-char-2007-2014.pdf,data/raw/assets/pdf/7bfed28cbc6d638a0319dd5eddbf46ee872d129f.pdf,92,plan-characteristics__codebook-ptd-plan-char-2007-2014_pdf__7bfed28cbc__p92__chunk_3
plan-characteristics,plan-characteristics__var__gap-inp-1m-coins-tier-01,contains,https://www2.ccwdata.org/documents/10280/19022436/codebook-ptd-plan-char-2007-2014.pdf,data/raw/assets/pdf/7bfed28cbc6d638a0319dd5eddbf46ee872d129f.pdf,128,plan-characteristics__codebook-ptd-plan-char-2007-2014_pdf__7bfed28cbc__p128__chunk_2
plan-characteristics,plan-characteristics__var__gap-inp-1m-copay-tier-01,contains,https://www2.ccwdata.org/documents/10280/19022436/codebook-ptd-plan-char-2007-2014.pdf,data/raw/assets/pdf/7bfed28cbc6d638a0319dd5eddbf46ee872d129f.pdf,133,plan-characteristics__codebook-ptd-plan-char-2007-2014_pdf__7bfed28cbc__p133__chunk_2
plan-characteristics,plan-characteristics__var__gap-partial-tier-01,contains,https://www2.ccwdata.org/documents/10280/19022436/codebook-ptd-plan-char-2007-2014.pdf,data/raw/assets/pdf/7bfed28cbc6d638a0319dd5eddbf46ee872d129f.pdf,194,plan-characteristics__codebook-ptd-plan-char-2007-2014_pdf__7bfed28cbc__p194__chunk_2
plan-characteristics,plan-characteristics__var__gap-partial-type-tier-01,contains,https://www2.ccwdata.org/documents/10280/19022436/codebook-ptd-plan-char-2007-2014.pdf,data/raw/assets/pdf/7bfed28cbc6d638a0319dd5eddbf46ee872d129f.pdf,218,plan-characteristics__codebook-ptd-plan-char-2007-2014_pdf__7bfed28cbc__p218__chunk_3
plan-characteristics,plan-characteristics__var__gap-tier,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,3,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s3__chunk_0
plan-characteristics,plan-characteristics__var__gap-tier-01,contains,https://www2.ccwdata.org/documents/10280/19022436/codebook-ptd-plan-char-2007-2014.pdf,data/raw/assets/pdf/7bfed28cbc6d638a0319dd5eddbf46ee872d129f.pdf,209,plan-characteristics__codebook-ptd-plan-char-2007-2014_pdf__7bfed28cbc__p209__chunk_1
plan-characteristics,plan-characteristics__var__gap-tier-partial,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,3,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s3__chunk_0
plan-characteristics,plan-characteristics__var__increased-icl,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,1,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s1__chunk_7
plan-characteristics,plan-characteristics__var__pre-icl-drug-type-tier-01,contains,https://www2.ccwdata.org/documents/10280/19022436/codebook-ptd-plan-char-2007-2014.pdf,data/raw/assets/pdf/7bfed28cbc6d638a0319dd5eddbf46ee872d129f.pdf,307,plan-characteristics__codebook-ptd-plan-char-2007-2014_pdf__7bfed28cbc__p307__chunk_3
plan-characteristics,plan-characteristics__var__pre-icl-inpp-1m-coins-tier-01,contains,https://www2.ccwdata.org/documents/10280/19022436/codebook-ptd-plan-char-2007-2014.pdf,data/raw/assets/pdf/7bfed28cbc6d638a0319dd5eddbf46ee872d129f.pdf,365,plan-characteristics__codebook-ptd-plan-char-2007-2014_pdf__7bfed28cbc__p365__chunk_2
plan-characteristics,plan-characteristics__var__pre-icl-inpp-1m-copay-tier-01,contains,https://www2.ccwdata.org/documents/10280/19022436/codebook-ptd-plan-char-2007-2014.pdf,data/raw/assets/pdf/7bfed28cbc6d638a0319dd5eddbf46ee872d129f.pdf,370,plan-characteristics__codebook-ptd-plan-char-2007-2014_pdf__7bfed28cbc__p370__chunk_2
plan-characteristics,plan-characteristics__var__pre-icl-inp-1m-coins-tier-01,contains,https://www2.ccwdata.org/documents/10280/19022436/codebook-ptd-plan-char-2007-2014.pdf,data/raw/assets/pdf/7bfed28cbc6d638a0319dd5eddbf46ee872d129f.pdf,355,plan-characteristics__codebook-ptd-plan-char-2007-2014_pdf__7bfed28cbc__p355__chunk_2
plan-characteristics,plan-characteristics__var__pre-icl-inp-1m-copay-tier-01,contains,https://www2.ccwdata.org/documents/10280/19022436/codebook-ptd-plan-char-2007-2014.pdf,data/raw/assets/pdf/7bfed28cbc6d638a0319dd5eddbf46ee872d129f.pdf,360,plan-characteristics__codebook-ptd-plan-char-2007-2014_pdf__7bfed28cbc__p360__chunk_2
plan-characteristics,plan-characteristics__var__ptcd-indicator,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,1,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s1__chunk_0
plan-characteristics,plan-characteristics__var__ptcd-indicator-15,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,5,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s5__chunk_0
plan-characteristics,plan-characteristics__var__ptcd-indicator-16,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,5,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s5__chunk_2
plan-characteristics,plan-characteristics__var__ptcd-indicator-17,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,5,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s5__chunk_3
plan-characteristics,plan-characteristics__var__ptcd-indicator-18,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,5,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s5__chunk_4
plan-characteristics,plan-characteristics__var__ptcd-indicator-19,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,5,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s5__chunk_5
plan-characteristics,plan-characteristics__var__ptcd-indicator-20,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,5,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s5__chunk_6
plan-characteristics,plan-characteristics__var__ptcd-indicator-21,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,5,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s5__chunk_7
plan-characteristics,plan-characteristics__var__ptcd-indicator-22,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,5,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s5__chunk_9
plan-characteristics,plan-characteristics__var__ptcd-indicator-23,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,5,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s5__chunk_10
plan-characteristics,plan-characteristics__var__ptcd-indicator-24,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,5,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s5__chunk_11
plan-characteristics,plan-characteristics__var__reduced-cost-share,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,1,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s1__chunk_6
plan-characteristics,plan-characteristics__var__reduced-ded,contains,https://www2.ccwdata.org/documents/10280/19022436/record-layout-plan-char.xlsx,data/raw/assets/xlsx/fb2d5917eb403209d1bb6382dce2e9ae79a43582.xlsx,1,plan-characteristics__record-layout-plan-char_xlsx__fb2d5917eb__s1__chunk_6
