variable_id,variable_name,dataset_id,definition,aliases,years,source_document,source_url,page,chunk_id,extraction_notes
ahc-model__var__ne-nvgtr-avg-cntct-mnts-num,NE_NVGTR_AVG_CNTCT_MNTS_NUM,ahc-model,Average duration of successful contacts with beneficiary,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_20,
ahc-model__var__ne-nvgtr-cntct-atmpt-num,NE_NVGTR_CNTCT_ATMPT_NUM,ahc-model,Number of navigator attempts to contact beneficiary (successful or not),,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_19,
ahc-model__var__ne-nvgtr-sucsfl-cntct-num,NE_NVGTR_SUCSFL_CNTCT_NUM,ahc-model,Number of navigator successful contacts with beneficiary,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_20,
ahc-model__var__nn-core-1-cncted-to-csp-sw,NN_CORE_1_CNCTED_TO_CSP_SW,ahc-model,"At Least 1 Core HRSN Connected to CSP, None Resolved",,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_20,
ahc-model__var__nn-core-1-rslvd-sw,NN_CORE_1_RSLVD_SW,ahc-model,At Least 1 Core HRSN Resolved,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_20,
ahc-model__var__nn-core-all-cncted-to-csp-sw,NN_CORE_ALL_CNCTED_TO_CSP_SW,ahc-model,All Core HRSNs: Connected to CSP,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_21,
ahc-model__var__nn-core-all-csp-unavlbl-sw,NN_CORE_ALL_CSP_UNAVLBL_SW,ahc-model,All Core HRSNs: CSP Unavailable or Unable to Help,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_21,
ahc-model__var__nn-core-all-optout-nvgtn-sw,NN_CORE_ALL_OPTOUT_NVGTN_SW,ahc-model,All Core HRSNs: Opted Out of Further Navigation Services,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_21,
ahc-model__var__nn-core-all-outcm-unk-sw,NN_CORE_ALL_OUTCM_UNK_SW,ahc-model,All Core HRSNs: Outcome Unknown,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_21,
ahc-model__var__nn-core-all-outrch-atmpt-fail-sw,NN_CORE_ALL_OUTRCH_ATMPT_FAIL_SW,ahc-model,All Core HRSNs: Attempt to Reach Failed,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_21,
ahc-model__var__nn-core-all-rslvd-sw,NN_CORE_ALL_RSLVD_SW,ahc-model,All Core HRSNs Resolved,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_20,
ahc-model__var__nn-core-food-cnct-csp-sw,NN_CORE_FOOD_CNCT_CSP_SW,ahc-model,Navigated Core HRSN Food Connected to Community Service Provider,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_22,
ahc-model__var__nn-core-food-cntct-fail-sw,NN_CORE_FOOD_CNTCT_FAIL_SW,ahc-model,Navigated Core HRSN Food Attempts to Reach Failed,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_22,
ahc-model__var__nn-core-food-csp-unavbl-sw,NN_CORE_FOOD_CSP_UNAVBL_SW,ahc-model,Navigated Core HRSN Food Community Service Provider Unable to Help,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_23,
ahc-model__var__nn-core-food-optout-sw,NN_CORE_FOOD_OPTOUT_SW,ahc-model,Navigated Core HRSN Food Opted Out,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_22,
ahc-model__var__nn-core-food-outcm-unk-sw,NN_CORE_FOOD_OUTCM_UNK_SW,ahc-model,Navigated Core HRSN Food Outcome Unknown,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_23,
ahc-model__var__nn-core-food-rslvd-sw,NN_CORE_FOOD_RSLVD_SW,ahc-model,Navigated Core HRSN Food Resolved,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_22,
ahc-model__var__nn-core-housng-cnct-csp-sw,NN_CORE_HOUSNG_CNCT_CSP_SW,ahc-model,Navigated Core HRSN Housing Connected to Community Service Provider,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_23,
ahc-model__var__nn-core-housng-cntct-fail-sw,NN_CORE_HOUSNG_CNTCT_FAIL_SW,ahc-model,Navigated Core HRSN Housing Attempts to Reach Failed,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_24,
ahc-model__var__nn-core-housng-csp-unavbl-sw,NN_CORE_HOUSNG_CSP_UNAVBL_SW,ahc-model,Navigated Core HRSN Housing Community Service Provider Unable to Help,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_24,
ahc-model__var__nn-core-housng-optout-sw,NN_CORE_HOUSNG_OPTOUT_SW,ahc-model,Navigated Core HRSN Housing Opted Out,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_23,
ahc-model__var__nn-core-housng-outcm-unk-sw,NN_CORE_HOUSNG_OUTCM_UNK_SW,ahc-model,Navigated Core HRSN Housing Outcome Unknown,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_24,
ahc-model__var__nn-core-housng-rslvd-sw,NN_CORE_HOUSNG_RSLVD_SW,ahc-model,Navigated Core HRSN Housing Resolved,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_23,
