dataset_id,name,program,category,availability,source_url,local_path,sha256,extraction_notes
ssp-aco-beneficiary,Shared Savings Program Accountable Care Organizations Beneficiary-level,Medicare,Plan and Provider,"Final: 2013-2024Preliminary: 2025 and 2026Quarterly: 2025 Q1-Q4, 2026 Q1",https://resdac.org/cms-data/files/ssp-aco-beneficiary?page=1,data/raw/html/dataset_page/e0b196e3d259fa2849b7e990d5bd1d887944fcad.html,4d37b255eaa85a04cd9c4c4b2d2eaa77fc87874cb446bd403a808b31ce0d86c8,
ssp-aco-provider,Shared Savings Program Accountable Care Organizations Provider-level,Medicare,Plan and Provider,Final: 2013-2024Preliminary: 2025 and 2026,https://resdac.org/cms-data/files/ssp-aco-provider?page=1,data/raw/html/dataset_page/09b860ae2397d9bc1589465c525822cef2fc97e5.html,c9be6ee186a1d6b00dd8947f9beb84ae1cd177dacb5d1097953bd556b9867686,
taf-apl,T-MSIS Analytic File Annual Managed Care Plan,Medicaid,Medicaid Utilization,2014-2023Preliminary 2024,https://resdac.org/cms-data/files/taf-apl?page=1,data/raw/html/dataset_page/ef2fdeba8f725b33646c3330c2dd580e7ae885c9.html,26ddec743290eba7b86f3afb0b555f5e823b5ec30d5e6d1517d313730d93fdc8,
taf-apr,T-MSIS Analytic File Annual Provider,Medicaid,Medicaid Utilization,2014-2023Preliminary 2024,https://resdac.org/cms-data/files/taf-apr?page=1,data/raw/html/dataset_page/faaebb337d9dec4e28d79cb5a753eab265e67b07.html,3acd69f4484555918fde97b36cdb5c43d3f1e30ae1392d1bd692cf7ecdb9ed5b,
taf-de,T-MSIS Analytic File Demographic and Eligibility,Medicaid,Beneficiary Enrollment and Summary,2014-2023Preliminary 2024,https://resdac.org/cms-data/files/taf-de?page=1,data/raw/html/dataset_page/0a0a7d344c3ed4b1d8926319bdc536abac765db3.html,5c0ba54c444cdb9e02a5eb869f26cbe0332240e034b61d95b5320d192757ff27,
taf-ip,T-MSIS Analytic File Inpatient,Medicaid,Medicaid Utilization,2014-2023Preliminary 2024,https://resdac.org/cms-data/files/taf-ip?page=1,data/raw/html/dataset_page/23f761c8121bfd6102211d9258b0c2148fab83b6.html,37aafe3e800bbffcdc27ab423bb8590fd7d03a090ac9cbdbecbe82c124157bcc,
taf-lt,T-MSIS Analytic File Long Term Care,Medicaid,Medicaid Utilization,2014-2023Preliminary 2024,https://resdac.org/cms-data/files/taf-lt?page=1,data/raw/html/dataset_page/8cb6484ad20a60abb1e2f652756c576cfbf5dba9.html,a3634db3b0f311c71dc0d810560d81fa206ba70d95d50357c53766b63637dbc5,
taf-ot,T-MSIS Analytic File Other Services,Medicaid,Medicaid Utilization,2014-2023Preliminary 2024,https://resdac.org/cms-data/files/taf-ot?page=1,data/raw/html/dataset_page/e8e2904b3213cf56a2268504d89441a497e5b1cf.html,7cdc80d78c0ccefc21d9d7f3f596ce2961b82a9767fb8ed5b7ffbaff7abaad16,
taf-rx,T-MSIS Analytic File Pharmacy,Medicaid,Medicaid Utilization,2014-2023Preliminary 2024,https://resdac.org/cms-data/files/taf-rx?page=1,data/raw/html/dataset_page/4e158ec9ec730af462c8ee86fbfacdaf76bb7468.html,fd1dcf4b5f7753acafaba07f58187edcd10e62116fb67d4e1032fa01689bc6a2,
vm-beneficiary,Value Modifier Beneficiary-Level,Medicare,Plan and Provider,2013-2016,https://resdac.org/cms-data/files/vm-beneficiary?page=1,data/raw/html/dataset_page/74b7ff42b4d90f31994ef3c216ee9fb7851c1afa.html,55f12e1ac67bbbf9d7691c3fe13d101855f94014d527e86bbd0372c9fac4e1b5,
vm-npi-practice,Value Modifier NPI Practice-Level,Medicare,Plan and Provider,2013-2016,https://resdac.org/cms-data/files/vm-npi-practice?page=1,data/raw/html/dataset_page/ae5d36997a900aec079861d6a07524b88ba61ff0.html,bfc5132ce9811b4d6e399cb9ed9278366ac6a4d49735f47e036aaed735f9ce1a,
vm-practice,Value Modifier Practice-Level,Medicare,Plan and Provider,2013-2016,https://resdac.org/cms-data/files/vm-practice?page=1,data/raw/html/dataset_page/8f9b0a385f4ff82247804dc387eb5b717016df6e.html,b16aff800ca6aefeb943ed88d7ce7ad2fe953fd9d95aa9984c49dd26a61f6356,
