url,resource_kind,asset_kind,source_url,source_title,content_type,http_status,archive_state,downloaded_at_utc,sha256,local_path,error
https://resdac.org/cms-data/files/cmmi-model-data-sharing-cmds-model-participation-data-initiative,dataset_page,,https://resdac.org/cms-data?page=0,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.849213Z,601f1bb9502225c0080f49d5d85e45939571e0290468f24d48e98913deea3059,data/raw/html/dataset_page/384107f331e2563369c38318d900e43172d43a4c.html,
https://resdac.org/cms-data/files/dme-encounter,dataset_page,,https://resdac.org/cms-data?page=1,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.849379Z,eb7d5f376a4647ed2f9ae992ea3541ca57449ed20ba0a007b0b36eb8669b39ce,data/raw/html/dataset_page/c23fcca164f03a963bd782a88f6ca79ff92aead3.html,
https://resdac.org/cms-data/files/dme-encounter?page=1,dataset_page,,https://resdac.org/cms-data/files/dme-encounter,Encounter Durable Medical Equipment | ResDAC,text/html,200,archived,2026-06-12T17:35:30.849541Z,f21b2a327fdfb59867baff85245829a24a9d4190d2b405234547fbec70313fc1,data/raw/html/dataset_page/0c2a4f81a325635749c0d9ab9fa80b2ffcc04d1f.html,
https://resdac.org/cms-data/files/dme-ffs,dataset_page,,https://resdac.org/cms-data?page=1,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.849690Z,bf300c1052bae2fc93d2d87042cf7f014898d6721731a487a1e4fef16d181775,data/raw/html/dataset_page/ae362508e5c3cff6613bd82d4092fe9dba589d2c.html,
https://resdac.org/cms-data/files/dme-ffs?page=1,dataset_page,,https://resdac.org/cms-data/files/dme-ffs,Original Medicare (Fee-for-Service) Durable Medical Equipment | ResDAC,text/html,200,archived,2026-06-12T17:35:30.849824Z,5ae2badba3662132d10a95493fc4675f0e428535173b6fd7c9218c95f86be3f7,data/raw/html/dataset_page/73815f5de3bc34dd965c74a2be1645c77b831246.html,
https://resdac.org/cms-data/files/hedis-rif,dataset_page,,https://resdac.org/cms-data?page=3,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.849976Z,487ae2738e5ebfee8b5bd8b5f73c1afb3959e9c5f262554fbe862408c2674d2a,data/raw/html/dataset_page/53c762b9d98cbbd768630ecf1a91b72fe35aefeb.html,
https://resdac.org/cms-data/files/hedis-rif-measures,dataset_page,,https://resdac.org/cms-data?page=3,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.850123Z,1af8a09f7524e453254a1675a5724c68544fdaffc98323eb5485ae9fb1511a06,data/raw/html/dataset_page/3f56579b8b9f43846fb5661b62bd296a42d69806.html,
https://resdac.org/cms-data/files/hedis-rif-pcr-measure,dataset_page,,https://resdac.org/cms-data?page=3,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.850270Z,394409a819339b76284134c405dc1c0586bdbad218857378cc3af4efaa3756ba,data/raw/html/dataset_page/21d6d237c32fea07af50f6e40ad3e0e6d3a0d116.html,
https://resdac.org/cms-data/files/hha-encounter,dataset_page,,https://resdac.org/cms-data?page=1,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.850425Z,6984ce03e120e76aab5e2f2f411d0538b5990409776eb76b9544d2eedfecc694,data/raw/html/dataset_page/4fb670a23573bd7b0647d6c10fc05a39baf8dff8.html,
https://resdac.org/cms-data/files/hha-encounter?page=1,dataset_page,,https://resdac.org/cms-data/files/hha-encounter,Encounter Home Health Agency | ResDAC,text/html,200,archived,2026-06-12T17:35:30.850574Z,223b43c7053d8d02307edceb64284e87549fbdacf777d5b8a22ab267ff7d69a9,data/raw/html/dataset_page/f1a6c0b5003f715077f44fca089117f39ebb832b.html,
https://resdac.org/cms-data/files/hha-encounter?page=2,dataset_page,,https://resdac.org/cms-data/files/hha-encounter?page=1,Encounter Home Health Agency | ResDAC,text/html,200,archived,2026-06-12T17:35:30.850696Z,86e8a2ac09d4a5ba98480cf87c262f1c5844382095def57ac9cced57e9232a28,data/raw/html/dataset_page/22e3288d3f760638d04abe30249e6d2f960989ad.html,
https://resdac.org/cms-data/files/hha-ffs,dataset_page,,https://resdac.org/cms-data?page=1,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.850811Z,231f16672a8c7441c4a60880615bc4fbc68dbb07149024412d535ece21571ee6,data/raw/html/dataset_page/8a72c4a9535ffc8f53655841fefcc77eb01cb3b9.html,
https://resdac.org/cms-data/files/hha-ffs?page=1,dataset_page,,https://resdac.org/cms-data/files/hha-ffs,Original Medicare (Fee-for-Service) Home Health Agency | ResDAC,text/html,200,archived,2026-06-12T17:35:30.850983Z,fd278f8099ed751022932c29a282c164378f44d002e790959f9e186fb40ce608,data/raw/html/dataset_page/8f78db76414be1060cc9feced2e94189785a9386.html,
https://resdac.org/cms-data/files/hos-rif,dataset_page,,https://resdac.org/cms-data?page=3,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.851128Z,55bf867c853a5a8e110320701978597965f0a9a48144cb46a6a9e9c1d05576ae,data/raw/html/dataset_page/3a2d6aac3217a98f46050a67c7808ce6efaf14ee.html,
https://resdac.org/cms-data/files/hospice-ffs,dataset_page,,https://resdac.org/cms-data?page=1,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.851284Z,10551b10ecaeda1b0286047d1f50b8bf0a0294dc7e2a92b5fbde80e94af48d4d,data/raw/html/dataset_page/82c705aa54aafef083cdcfbf4bd4666e8a12db0b.html,
https://resdac.org/cms-data/files/hospice-ffs?page=1,dataset_page,,https://resdac.org/cms-data/files/hospice-ffs,Original Medicare (Fee-for-Service) Hospice | ResDAC,text/html,200,archived,2026-06-12T17:35:30.851427Z,adb76344d01fab232e7d10a73b86146fdee5c75c3bf9b21fd780ced3d0ea04ce,data/raw/html/dataset_page/dbaf3aed47201c3fc4db788b6db09a84cd3fe53c.html,
https://resdac.org/cms-data/files/hrs-medicare,dataset_page,,https://resdac.org/cms-data?page=2,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.851583Z,72fc6a7057ba4b3f5323dd660d4bee0d438f4f3681f81b237367c1bfff709320,data/raw/html/dataset_page/56f0128f13eefc2a0c19fceb47f11980630a1d88.html,
https://resdac.org/cms-data/files/ip-encounter,dataset_page,,https://resdac.org/cms-data?page=1,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.851749Z,1bae5f273cc92668e63fb323b778a3a283cca8842c16a7b3e2dfb5173d04d70f,data/raw/html/dataset_page/12756672621a930d90dd1a891197eb3c3fe4e16b.html,
https://resdac.org/cms-data/files/ip-encounter?page=1,dataset_page,,https://resdac.org/cms-data/files/ip-encounter,Encounter Inpatient | ResDAC,text/html,200,archived,2026-06-12T17:35:30.851884Z,7f9e03700a763a031c2730d74d4f0044bab32b1ae4bf1914bfb43b5fbcf7304f,data/raw/html/dataset_page/e5f45c1825ba4b2fabf81ff96515fb26076640eb.html,
https://resdac.org/cms-data/files/ip-ffs,dataset_page,,https://resdac.org/cms-data?page=1,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.852030Z,5b0c4950031fb466825851b979c878d3ab647d4d6c9e62bcfb548bde75c54cc0,data/raw/html/dataset_page/12ad7f86859bcac979dcc71633871bf7328ffd7b.html,
https://resdac.org/cms-data/files/ip-ffs?page=1,dataset_page,,https://resdac.org/cms-data/files/ip-ffs,Original Medicare (Fee-for-Service) Inpatient | ResDAC,text/html,200,archived,2026-06-12T17:35:30.852188Z,220938f49721513ed7147d1cf9d21c9d905e77ed7d576d9f4d0c797008391948,data/raw/html/dataset_page/5e06938543c28635217c25080fa7c1e2252f9b43.html,
https://resdac.org/cms-data/files/irf-pai,dataset_page,,https://resdac.org/cms-data?page=2,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.852338Z,51b9ba05dcc841d0eac9344e385304a43cc4c7851507aa2e8c8ac04d47f960ea,data/raw/html/dataset_page/baa26ed7c1fc23dc65c8af0a21caa69710fd2ab0.html,
