url,title,resource_kind,asset_kind,content_type,http_status,link_state,linked_documents,source_url,source_title
https://resdac.org/cms-data?page=0,Find the CMS Data File You Need | ResDAC,listing_page,,text/html,200,live,50,,
https://resdac.org/cms-data?page=1,Find the CMS Data File You Need | ResDAC,listing_page,,text/html,200,live,51,,
https://resdac.org/cms-data?page=2,Find the CMS Data File You Need | ResDAC,listing_page,,text/html,200,live,51,,
https://resdac.org/cms-data?page=3,Find the CMS Data File You Need | ResDAC,listing_page,,text/html,200,live,36,,
https://resdac.org/cms-data?page=4,Find the CMS Data File You Need | ResDAC,listing_page,,text/html,200,live,0,,
https://resdac.org/cms-data/files/ahc-model,Accountable Health Communities Model,dataset_page,,text/html,200,live,2,https://resdac.org/cms-data?page=0,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/ahcah-hospital,Acute Hospital Care at Home - Hospital,dataset_page,,text/html,200,live,3,https://resdac.org/cms-data?page=0,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/ahcah-patient,Acute Hospital Care at Home - Patient,dataset_page,,text/html,200,live,3,https://resdac.org/cms-data?page=0,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/cahps,Consumer Assessment of Healthcare Providers & Systems,dataset_page,,text/html,200,live,2,https://resdac.org/cms-data?page=2,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/carrier-encounter,Encounter Carrier,dataset_page,,text/html,200,live,3,https://resdac.org/cms-data?page=1,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/carrier-encounter?page=1,VIEW MORE RELATED FILES,dataset_page,,text/html,200,live,2,https://resdac.org/cms-data/files/carrier-encounter,Encounter Carrier | ResDAC
https://resdac.org/cms-data/files/carrier-ffs,Original Medicare (Fee-for-Service) Carrier,dataset_page,,text/html,200,live,3,https://resdac.org/cms-data?page=1,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/carrier-ffs?page=1,VIEW MORE RELATED FILES,dataset_page,,text/html,200,live,2,https://resdac.org/cms-data/files/carrier-ffs,Original Medicare (Fee-for-Service) Carrier | ResDAC
https://resdac.org/cms-data/files/cec-beneficiary,Comprehensive ESRD Care Model - Beneficiary,dataset_page,,text/html,200,live,3,https://resdac.org/cms-data?page=3,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/cec-provider,CEC Provider RIF,dataset_page,,text/html,200,live,3,https://resdac.org/cms-data?page=3,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/cmds-beneficiary,CMMI Model Data Sharing Beneficiary,dataset_page,,text/html,200,live,3,https://resdac.org/cms-data?page=0,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/cmds-entity,Entity,dataset_page,,text/html,200,live,2,https://resdac.org/cms-data?page=0,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/cmds-provider,CMMI Model Data Sharing Provider,dataset_page,,text/html,200,live,3,https://resdac.org/cms-data?page=0,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/cmmi-model-data-sharing-cmds-model-participation-data-initiative,CMMI Model Data Sharing (CMDS) Model Participation Data Initiative,dataset_page,,text/html,200,live,3,https://resdac.org/cms-data?page=0,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/dme-encounter,Encounter Durable Medical Equipment,dataset_page,,text/html,200,live,3,https://resdac.org/cms-data?page=1,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/dme-encounter?page=1,VIEW MORE RELATED FILES,dataset_page,,text/html,200,live,2,https://resdac.org/cms-data/files/dme-encounter,Encounter Durable Medical Equipment | ResDAC
https://resdac.org/cms-data/files/dme-ffs,Original Medicare (Fee-for-Service) Durable Medical Equipment,dataset_page,,text/html,200,live,3,https://resdac.org/cms-data?page=1,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/dme-ffs?page=1,VIEW MORE RELATED FILES,dataset_page,,text/html,200,live,2,https://resdac.org/cms-data/files/dme-ffs,Original Medicare (Fee-for-Service) Durable Medical Equipment | ResDAC
https://resdac.org/cms-data/files/hedis-rif,Healthcare Effectiveness Data and Information Set (HEDIS),dataset_page,,text/html,200,live,4,https://resdac.org/cms-data?page=3,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/hedis-rif-measures,Healthcare Effectiveness Data and Information Set (HEDIS) File 1: Measures File (does not include Plan All-Cause Readmission measure),dataset_page,,text/html,200,live,2,https://resdac.org/cms-data?page=3,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/hedis-rif-pcr-measure,Healthcare Effectiveness Data and Information Set (HEDIS) File 2: Plan All-Cause Readmission (PCR) Measure,dataset_page,,text/html,200,live,2,https://resdac.org/cms-data?page=3,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/hha-encounter,Encounter Home Health Agency,dataset_page,,text/html,200,live,3,https://resdac.org/cms-data?page=1,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/hha-encounter?page=1,VIEW MORE RELATED FILES,dataset_page,,text/html,200,live,3,https://resdac.org/cms-data/files/hha-encounter,Encounter Home Health Agency | ResDAC
https://resdac.org/cms-data/files/hha-encounter?page=2,VIEW MORE RELATED FILES,dataset_page,,text/html,200,live,2,https://resdac.org/cms-data/files/hha-encounter?page=1,Encounter Home Health Agency | ResDAC
https://resdac.org/cms-data/files/hha-ffs,Original Medicare (Fee-for-Service) Home Health Agency,dataset_page,,text/html,200,live,4,https://resdac.org/cms-data?page=1,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/hha-ffs?page=1,VIEW MORE RELATED FILES,dataset_page,,text/html,200,live,3,https://resdac.org/cms-data/files/hha-ffs,Original Medicare (Fee-for-Service) Home Health Agency | ResDAC
https://resdac.org/cms-data/files/hos-rif,Health Outcomes Survey,dataset_page,,text/html,200,live,2,https://resdac.org/cms-data?page=3,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/hospice-ffs,Original Medicare (Fee-for-Service) Hospice,dataset_page,,text/html,200,live,3,https://resdac.org/cms-data?page=1,Find the CMS Data File You Need | ResDAC
https://resdac.org/cms-data/files/hospice-ffs?page=1,VIEW MORE RELATED FILES,dataset_page,,text/html,200,live,2,https://resdac.org/cms-data/files/hospice-ffs,Original Medicare (Fee-for-Service) Hospice | ResDAC
https://resdac.org/cms-data/files/hrs-medicare,Health and Retirement Survey - Medicare Linked Data,dataset_page,,text/html,200,live,3,https://resdac.org/cms-data?page=2,Find the CMS Data File You Need | ResDAC
